ReasonId,ReasonDesc,DeptId,DeptDesc,DeptCode,TypeId,TypeDesc,Excused
58,Training New Associate,10,Die Cast,DC,,,1
59,Waiting for Crane,10,Die Cast,DC,,,0
64,Preventive Maintenance,10,Die Cast,DC,,,0
66,Quench Tank,10,Die Cast,DC,,,0
67,Quench Tank Fixtures,10,Die Cast,DC,,,1
68,Machine Overheating,10,Die Cast,DC,,,1
69,D/C Machine Hyd.,10,Die Cast,DC,,,0
70,D/C Machine Elec.,10,Die Cast,DC,,,0
71,D/C Machine Mech.,10,Die Cast,DC,,,0
72,Mold Repair - Broken/Bent Pin,10,Die Cast,DC,,,0
73,Mold Repair-Bent Pin,10,Die Cast,DC,,,1
74,Mold Repair-Broken Die,10,Die Cast,DC,,,1
75,Mold Repair-Water Leak,10,Die Cast,DC,,,0
76,Mold Repair - Dimensional/Broken Die,10,Die Cast,DC,,,0
77,Mold Repair-Flashing,10,Die Cast,DC,,,0
78,Tip/Coupling,10,Die Cast,DC,,,0
79,Sleeve Change,10,Die Cast,DC,,,0
80,Tip Lube Line Repair,10,Die Cast,DC,,,0
81,Change Tip Coupling,10,Die Cast,DC,,,1
82,Sleeve Adjustments,10,Die Cast,DC,,,0
83,Shot Bead Unit,10,Die Cast,DC,,,0
84,Change Date Pin,10,Die Cast,DC,,,0
85,Quality Check,10,Die Cast,DC,,,0
87,OP0-1 Down,12,Machine Shop,MS,,,0
88,OP0-2 Down,12,Machine Shop,MS,,,0
89,No Operator,10,Die Cast,DC,,,0
90,Ladel Sensor,10,Die Cast,DC,,,0
91,ELB Cam Cords,10,Die Cast,DC,,,0
92,COP,10,Die Cast,DC,,,0
93,Waiting on MRO,10,Die Cast,DC,,,0
94,Vacuum System,10,Die Cast,DC,1,Equipment,0
201,Scheduled Down /////////////////////////////,11,Trim Shop,TS,,,0
202,Power Outage,11,Trim Shop,TS,,,0
203,Emergency Evacuation,11,Trim Shop,TS,,,0
204,Low Air Pressure,11,Trim Shop,TS,,,0
205,No Operator,11,Trim Shop,TS,,,0
206,Gripper Trouble,11,Trim Shop,TS,,,0
207,Tool Measure,11,Trim Shop,TS,,,0
208,Robot Position Trouble,11,Trim Shop,TS,,,0
209,Tool Change,11,Trim Shop,TS,,,0
210,Part Detect Sensors,11,Trim Shop,TS,,,0
211,Tool Sensors not Reading,11,Trim Shop,TS,,,0
212,Conveyor Trouble,11,Trim Shop,TS,,,0
213,Die Table Change-Over,11,Trim Shop,TS,,,0
214,No Parts,11,Trim Shop,TS,,,0
215,Running Test Parts,11,Trim Shop,TS,,,0
216,Waiting on Q.C. Approval,11,Trim Shop,TS,,,0
217,Waiting on Maintenance,11,Trim Shop,TS,,,0
218,Tool Life Count Up,11,Trim Shop,TS,,,0
219,Stuck Part,11,Trim Shop,TS,,,0
220,Table Sensor Not Reading,11,Trim Shop,TS,,,0
221,Safety Meeting,11,Trim Shop,TS,,,0
222,Grinder Trouble,11,Trim Shop,TS,,,0
226,Sort Parts,11,Trim Shop,TS,,,0
229,C.O.P.,11,Trim Shop,TS,,,1
230,No Dunnage/Baskets,11,Trim Shop,TS,,,1
401,Air Leak on Machine/////////////////////////////////,12,Machine Shop,MS,,,1
402,Assembly Machine Problems,12,Machine Shop,MS,,,0
403,Awaiting Leader to Reset Red Light,12,Machine Shop,MS,,,1
404,Broken Tool Change,12,Machine Shop,MS,,,0
405,C.O.P.,12,Machine Shop,MS,,,1
406,Cavity Change/Check,12,Machine Shop,MS,,,1
407,Change RA Wheels,12,Machine Shop,MS,,,1
408,CMM Confirmation of Changeover,12,Machine Shop,MS,,,1
409,CMM Confirmation of Change Point,12,Machine Shop,MS,,,1
410,Conveyor Problems,12,Machine Shop,MS,,,1
411,Coolant Problems,12,Machine Shop,MS,,,1
412,Crash,12,Machine Shop,MS,,,1
413,Cycle Stop,12,Machine Shop,MS,,,0
414,Dimension Problems,12,Machine Shop,MS,,,1
415,Door Problems,12,Machine Shop,MS,,,0
416,Dotting Parts,12,Machine Shop,MS,,,1
417,Dowel Pin Problems,12,Machine Shop,MS,,,1
418,"Drills (Fire, Tornado, etc.)",12,Machine Shop,MS,,,0
419,Emergency Evacuation/Shutdown,12,Machine Shop,MS,,,0
420,Excessive Flash Removal,12,Machine Shop,MS,,,1
421,Engineer Working on Machine,12,Machine Shop,MS,,,0
422,Hole Size No Good Problem,12,Machine Shop,MS,,,1
423,How Long MSM to Repair Machine,12,Machine Shop,MS,,,0
424,How Long MSM to Respond,12,Machine Shop,MS,,,1
425,Hydraulic Problems,12,Machine Shop,MS,,,1
426,Interviews,12,Machine Shop,MS,,,1
427,Jig Problems,12,Machine Shop,MS,,,1
428,Leak Tester Problems,12,Machine Shop,MS,,,0
429,Light Curtain Problems,12,Machine Shop,MS,,,1
430,Machine Adjustments,12,Machine Shop,MS,,,0
431,Machine Leaking (mopping),12,Machine Shop,MS,,,1
432,MSM Prevenative Maintenance on Machine,12,Machine Shop,MS,,,1
433,"Machine Trials (New Die Parts, Test Tools, etc)",12,Machine Shop,MS,,,1
434,Meetings,12,Machine Shop,MS,,,1
435,Pre-shift meetings,12,Machine Shop,MS,,,1
436,Misset Problems,12,Machine Shop,MS,,,1
437,Changeover,12,Machine Shop,MS,,,1
438,Motor Overload/Overheating,12,Machine Shop,MS,,,1
439,No Diecast Parts,12,Machine Shop,MS,,,1
440,No Operator due to Absence,12,Machine Shop,MS,,,1
441,No Operator due to Repacking,12,Machine Shop,MS,,,1
442,No Operator due to Repairing Parts,12,Machine Shop,MS,,,1
443,No Operator due to Running Other Process,12,Machine Shop,MS,,,1
444,No Operator due to Sorting In-House,12,Machine Shop,MS,,,1
445,No Operator due to Sorting at Customer,12,Machine Shop,MS,,,1
446,No Operator due to Relieving for Breaks/Lunch,12,Machine Shop,MS,,,1
447,Low or No Air Pressure,12,Machine Shop,MS,,,1
448,No Parts to Assemble,12,Machine Shop,MS,,,1
449,No Parts to Inspect,12,Machine Shop,MS,,,1
450,No Parts to Lap,12,Machine Shop,MS,,,1
451,No Supply Parts,12,Machine Shop,MS,,,0
452,No Trim Shop Parts,12,Machine Shop,MS,,,1
453,Other,12,Machine Shop,MS,,,1
454,Overfilling Machine (mopping),12,Machine Shop,MS,,,1
455,Performing Machine Condition Checks,12,Machine Shop,MS,,,1
456,Pin Pressure Problem,12,Machine Shop,MS,,,1
457,Power Outage/Surges,12,Machine Shop,MS,,,0
458,Probe Problems,12,Machine Shop,MS,,,1
459,Quality Problems (misc.),12,Machine Shop,MS,,,0
460,Red Lights for Machining (misc.),12,Machine Shop,MS,,,0
461,Red Lights for Assembly (misc.),12,Machine Shop,MS,,,0
462,Red Lights for Inspection (misc.),12,Machine Shop,MS,,,0
463,Restocking Area of Supplies,12,Machine Shop,MS,,,1
464,Safety Problems,12,Machine Shop,MS,,,1
465,Schedule Zero Production,12,Machine Shop,MS,,,1
466,Seal Problems,12,Machine Shop,MS,,,1
467,Sensor Problems,12,Machine Shop,MS,,,1
468,Servo Motor/Cable Problems,12,Machine Shop,MS,,,1
469,Table Full (Stop Production),12,Machine Shop,MS,,,1
470,Tool Limit (count up),12,Machine Shop,MS,,,0
471,Training,12,Machine Shop,MS,,,1
472,Training (Safety),12,Machine Shop,MS,,,1
473,Unknown,12,Machine Shop,MS,,,1
474,Waiting on Q.C. Approval,12,Machine Shop,MS,,,1
475,Warm Up Machines,12,Machine Shop,MS,,,1
476,Washer Failure on Leak Tester,12,Machine Shop,MS,,,1
477,Washer (Machine) Problems (down),12,Machine Shop,MS,,,0
478,Worn Tool Change,12,Machine Shop,MS,,,0
479,"Measuring Parts (C/D, Surfometer, gaging, etc.)",12,Machine Shop,MS,,,1
480,ATC Problems,12,Machine Shop,MS,,,1
481,Clamp Problems,12,Machine Shop,MS,,,1
482,No Dunnage/Baskets,12,Machine Shop,MS,,,1
483,Loader Error,12,Machine Shop,MS,,,1
484,No PLC Thermo Covers,12,Machine Shop,MS,,,1
485,Belt/Timing Problems,12,Machine Shop,MS,,,1
486,Spindle Problems,12,Machine Shop,MS,,,1
487,Oil Level Low,12,Machine Shop,MS,,,1
488,Machine Would Not Start,12,Machine Shop,MS,,,1
489,Empty Chip Bins,12,Machine Shop,MS,,,1
490,No Water Pressure,12,Machine Shop,MS,,,1
491,Plant-Wide Meeting,12,Machine Shop,MS,,,1
492,Shutdown High Inventory Level,12,Machine Shop,MS,,,1
493,No Operator due to Emptying Recyle Bins,12,Machine Shop,MS,,,1
494,Inventory Schedule Down,12,Machine Shop,MS,,,1
495,No Operator due to Training New Operator,12,Machine Shop,MS,,,1
496,No Operator due to Performing Preventive Maintenan,12,Machine Shop,MS,,,1
497,Hearing Test,12,Machine Shop,MS,,,1
498,Tool Fell Out,12,Machine Shop,MS,,,1
499,CMM Parts,12,Machine Shop,MS,,,1
500,Packing Parts,12,Machine Shop,MS,,,1
501,No Parts to Machine,12,Machine Shop,MS,,,1
502,Check Machine,12,Machine Shop,MS,,,1
503,Inspecting,12,Machine Shop,MS,,,1
504,Problems with Memory,12,Machine Shop,MS,,,1
508,Process Change,12,Machine Shop,MS,,,1
511,Inventory,12,Machine Shop,MS,,,1
513,Torque Tool Change,12,Machine Shop,MS,,,1
514,Sort DC/TS Defects,12,Machine Shop,MS,,,1
515,Dowel Pin Feeder,12,Machine Shop,MS,,,1
516,OP40 Down,12,Machine Shop,MS,,,1
517,Purging Line,12,Machine Shop,MS,,,1
518,No parts from previous process,12,Machine Shop,MS,,,0
519,Dowel pin feeder down,12,Machine Shop,MS,,,1
520,Precautionary Shutdown,12,Machine Shop,MS,,,1
521,No User due to Re-Inspection,12,Machine Shop,MS,,,1
522,Bolt stuck in chute,12,Machine Shop,MS,,,1
523,Waiting on torque gun,12,Machine Shop,MS,,,1
524,Spring change,12,Machine Shop,MS,,,1
525,No Oper. For running overflow,12,Machine Shop,MS,,,1
527,Cleaning/Filling Washer,12,Machine Shop,MS,,,1
528,(M02)Face Height Ajustment,12,Machine Shop,MS,,,1
529,(M03)Part Height Ajustment,12,Machine Shop,MS,,,1
530,(M04)Dow Pin Pitch Ajustment,12,Machine Shop,MS,,,1
531,(M11)Scheduled Repair Downtime,12,Machine Shop,MS,,,1
532,(M13)Machine Testing Downtime,12,Machine Shop,MS,,,1
533,(M15)Repair Downtime by Leader,12,Machine Shop,MS,,,1
534,Washing Parts,12,Machine Shop,MS,,,1
535,(M01)Cycle Stop,12,Machine Shop,MS,,,1
536,(M05)Tool Change & Quality,12,Machine Shop,MS,,,1
537,(M06)Broken Tool change & Quality Confirmation,12,Machine Shop,MS,,,1
538,(M07)Oper. Moved to other Process,12,Machine Shop,MS,,,1
539,(M08)Out of Parts from D/C,12,Machine Shop,MS,,,1
540,(M09)Changing Line Over/Purging Line,12,Machine Shop,MS,,,1
541,(M10)Unscheduled Machine Repair By Maint.,12,Machine Shop,MS,,,1
542,(M12)Machine Down For PM,12,Machine Shop,MS,,,1
543,(M14)Machine Alarm,12,Machine Shop,MS,,,1
544,(M16)No Oper Due To Absence,12,Machine Shop,MS,,,1
545,(M17)Meeting,12,Machine Shop,MS,,,1
546,(M18)Maching Shut Down Due To WIP,12,Machine Shop,MS,,,1
547,(M19)Other,12,Machine Shop,MS,,,1
562,Line Full,12,Machine Shop,MS,,,1
563,Gauging Parts,12,Machine Shop,MS,,,1
564,Transfer,12,Machine Shop,MS,,,1
565,OP10 Down,12,Machine Shop,MS,,,0
567,OP10-1 Down,12,Machine Shop,MS,,,0
568,OP10-2 Down,12,Machine Shop,MS,,,0
569,OP10-3 Down,12,Machine Shop,MS,,,0
570,OP10-4 Down,12,Machine Shop,MS,,,0
571,OP10-5 Down,12,Machine Shop,MS,,,0
572,OP10-6 Down,12,Machine Shop,MS,,,0
573,OP10-7 Down,12,Machine Shop,MS,,,0
574,OP20 Down,12,Machine Shop,MS,,,0
575,OP20-1 Down,12,Machine Shop,MS,,,0
576,OP20-2 Down,12,Machine Shop,MS,,,0
577,OP20-3 Down,12,Machine Shop,MS,,,0
578,OP20/30 Down,12,Machine Shop,MS,,,0
579,OP20/30-1 Down,12,Machine Shop,MS,,,0
580,OP20/30-2 Down,12,Machine Shop,MS,,,0
581,OP30 Down,12,Machine Shop,MS,,,0
582,OP30-1 Down,12,Machine Shop,MS,,,0
583,OP30-2 Down,12,Machine Shop,MS,,,0
584,OP30-3 Down,12,Machine Shop,MS,,,0
585,Deburr Down,12,Machine Shop,MS,,,0
586,FEC Down,12,Machine Shop,MS,,,0
587,Face Height Down,12,Machine Shop,MS,,,0
588,OP60 Down,12,Machine Shop,MS,,,0
589,OP70-1 Down,12,Machine Shop,MS,,,0
590,OP70-2 Down,12,Machine Shop,MS,,,0
591,OP70-A Down,12,Machine Shop,MS,,,0
592,OP70-B Down,12,Machine Shop,MS,,,0
593,Shut down due to weather,12,Machine Shop,MS,,,1
594,Rework,12,Machine Shop,MS,,,0
595,C-Clip Insert,12,Machine Shop,MS,,,0
596,Lost Motion,12,Machine Shop,MS,,,0
597,Dowel Pin Feed Machine,12,Machine Shop,MS,,,0
598,"VCM Ex ""A""",12,Machine Shop,MS,,,0
599,"VCM Ex ""B""",12,Machine Shop,MS,,,0
600,"VCM ""IN""",12,Machine Shop,MS,,,0
601,"VCM ""IN"" R/A",12,Machine Shop,MS,,,0
602,"Non VCM ""IN""",12,Machine Shop,MS,,,0
603,"Non VCM ""A"" R/A",12,Machine Shop,MS,,,0
604,"Non VCM ""B"" R/A",12,Machine Shop,MS,,,0
605,"Non VCM Ex ""A""",12,Machine Shop,MS,,,0
606,"Non VCM Ex ""B""",12,Machine Shop,MS,,,0
607,IN R/S Front,12,Machine Shop,MS,,,0
608,IN R/S Rear,12,Machine Shop,MS,,,0
609,IN R/S RKG,12,Machine Shop,MS,,,0
610,IN Shafts,12,Machine Shop,MS,,,0
611,Ex Shafts,12,Machine Shop,MS,,,0
612,EX R/S Front,12,Machine Shop,MS,,,0
613,EX R/S Rear,12,Machine Shop,MS,,,0
614,EX R/S RKG,12,Machine Shop,MS,,,0
615,Mounting Bolt Feed Machine,12,Machine Shop,MS,,,0
616,Bolt Torque Machine,12,Machine Shop,MS,,,0
617,Inspection Unit,12,Machine Shop,MS,,,0
618,#1/#3 OP10/20-1,12,Machine Shop,MS,,,0
619,#1/#3 OP10/20-2,12,Machine Shop,MS,,,0
620,#2 OP10/20-1,12,Machine Shop,MS,,,0
621,#2 OP10/20-2,12,Machine Shop,MS,,,0
622,OP21,12,Machine Shop,MS,,,0
623,OP22,12,Machine Shop,MS,,,0
624,OP40-1,12,Machine Shop,MS,,,0
625,OP40-2,12,Machine Shop,MS,,,0
626,OP40-3,12,Machine Shop,MS,,,0
627,OP40-4,12,Machine Shop,MS,,,0
628,QA Machine,12,Machine Shop,MS,,,0
629,Label Maker,12,Machine Shop,MS,,,0
630,Robot,12,Machine Shop,MS,,,0
631,Warm Up Machines,12,Machine Shop,MS,,,1
632,No Operator due to Absence,12,Machine Shop,MS,,,1
633,No Operator due to Sorting In-House,12,Machine Shop,MS,,,1
634,No Parts to Inspect,12,Machine Shop,MS,,,0
635,Misset Problems,12,Machine Shop,MS,,,0
636,CMM Confirmation of Change Point,12,Machine Shop,MS,,,0
637,CMM Confirmation of Changeover,12,Machine Shop,MS,,,0
638,Transfer (VCM),12,Machine Shop,MS,,,0
639,RKR Arm Load,12,Machine Shop,MS,,,0
640,RKR Holder Load,12,Machine Shop,MS,,,0
641,Shaft Install,12,Machine Shop,MS,,,0
642,Laser Engraver,12,Machine Shop,MS,,,0
643,Flexware,12,Machine Shop,MS,,,0
644,Waiting on Maintenance,12,Machine Shop,MS,,,0
645,OP 10/20-1 #1/#3,12,Machine Shop,MS,,,0
646,OP 10/20-1 #2,12,Machine Shop,MS,,,0
647,OP 10/20-2 #1/#3,12,Machine Shop,MS,,,0
648,OP 10/20-2 #2,12,Machine Shop,MS,,,0
649,OP10/20-3 #1/#3,12,Machine Shop,MS,,,0
650,OP10/20-3 #2,12,Machine Shop,MS,,,0
651,Scheduled Downtime,12,Machine Shop,MS,,,0
652,Washer Awareness,12,Machine Shop,MS,,,0
653,Washer Cutout,12,Machine Shop,MS,,,0
654,Robot Line #1 (Walle),12,Machine Shop,MS,,,0
655,Robot Line #2 (Geisha),12,Machine Shop,MS,,,0
656,Robot Line #3 (Gizmo),12,Machine Shop,MS,,,0
657,No Die Cast Parts,12,Machine Shop,MS,,,0
658,MS Quality Issues,12,Machine Shop,MS,,,0
659,DC Quality Issues,12,Machine Shop,MS,,,0
660,Waiting on Part for Machine,12,Machine Shop,MS,,,0
661,No Dunnage,12,Machine Shop,MS,,,0
662,OP50 Down,12,Machine Shop,MS,,,0
